,trial,contrast_left,contrast_right,gocue_time,Path
0,1,100,25,0.7227701122845858,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_001.csv
0,2,0,0,0.6988943594082642,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_002.csv
0,3,0,0,0.7388084247734668,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_003.csv
0,4,0,0,0.7387097727286687,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_004.csv
0,5,100,100,0.6533909649457712,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_005.csv
0,6,100,50,0.6277149827389792,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_006.csv
0,7,0,50,0.6786972344522155,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_007.csv
0,8,0,0,0.4672208860079365,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_008.csv
0,9,100,100,0.7489947022700676,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_009.csv
0,10,0,0,0.5333781099178623,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_010.csv
0,11,0,0,0.6085046567925474,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_011.csv
0,12,100,50,0.7781070497245253,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_012.csv
0,13,0,0,0.6280602975161287,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_013.csv
0,14,100,25,0.4978382223402207,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_014.csv
0,15,0,0,0.6232574617199589,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_015.csv
